File Name,Talchum Important
MC01_A02_B031_CA1_M0005_2925.json,곰방대와 부채로 너울질 하는 춤
MC01_A09_B099_CA1_M0007_3870.json,"돌림사위, 울음태사위"
MC01_A06_B081_CA1_M0001_1845.json,"북채를 떨어 뜨린다
북을 잡으려다 놓치고 운다
결국 북을 쥐고 신나게 춤을춘다"
MC01_A04_B055_CA1_M0008_11100.json,"합장재배, 벽사진경의 의식무로서 연희초반 마당을 정화하는 대표적 동작"
MC01_A03_B049_CA1_M0014_25290.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A03_B049_CA1_M0019_26760.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A03_B041_CA1_M0008_2985.json," 힘차게 올림사위, 두번돌고 대비되는 앉았다. 좌.우 일어나는 동작."
MC01_A03_B042_CA1_M0006_2010.json,"왼쪽, 오른쪽 순으로 앉아서 한삼을 치는 춤."
MC01_A04_B055_CA1_M0003_2115.json,"합장재배, 벽사진경의 의식무로서 연희초반 마당을 정화하는 대표적 동작"
MC01_A04_B063_CA1_M0002_255.json,귀롱가지를 힘차게 휘두르는 모습
MC01_A03_B052_CA1_M0007_4170.json,부채를 펴고 접고 내밀고 뒤로 넘기며 표현하는 동작.
MC01_A01_B005_CA1_M0002_4035.json,호흡과 홍태기가 일체가 되어 절도있게 채는 동작으로 춘다
MC01_A09_B099_CA1_M0006_2400.json,"돌림사위, 울음태사위"
MC01_A07_B088_CA1_M0025_8095.json,"코풀사위, 배김사위, 배김새가락이 나오면 추는 사위로 통영오광대의 가장 특징적인 사위."
MC01_A05_B071_CA1_M0002_4695.json,양손을 들고 좌우로 장단변화에 따라 양손을 올리고 내리면서 추는 춤사위
MC01_A04_B061_CA1_M0006_7290.json,힘겹게 일어나 소무들을 취하는 동작.
MC01_A03_B038_CA1_M0014_18420.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A03_B051_CA1_M0005_1065.json,"팔을 머리 뒤에서 앞으로 돌리는 동작, 팔을 머리 앞에서 뒤로 돌림, 양손을 머리 위로 뿌림."
MC01_A02_B021_CA1_M0010_3945.json,도리깨질 사위
MC01_A05_B071_CA1_M0001_3105.json,양손을 들고 좌우로 장단변화에 따라 양손을 올리고 내리면서 추는 춤사위
MC01_A06_B082_CA1_M0002_1830.json,"첫 입장 배김새, 큰 배김새"
MC01_A07_B091_CA1_M0007_3435.json,손을 들며 머리를 쓸어내리는 듯한 동작.
MC01_A02_B031_CA1_M0007_4695.json,곰방대와 부채로 너울질 하는 춤
MC01_A02_B035_CA1_M0003_1020.json,"1. 할멈을 찾을때 부채를 이용한 시선 방향 2.영감과 할미의 합궁 춤,성 행위를 나타내는 춤,"
MC01_A02_B024_CA1_M0001_165.json,주저 앉는 동작
MC01_A01_B006_CA1_M0008_5875.json,"합장, 스텝, 뿌리고 채는 동작"
MC01_A03_B047_CA1_M0013_4950.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A06_B085_CA1_M0002_1260.json,쪼그려 앉아서 오줌을 싼다
MC01_A09_B094_CA1_M0009_4575.json,"배김사위, 앞배김새, 뒷배김새, 겨드랑배김새 동작이 강하여 뛰어서 땅을 내려 누르듯이 힘차게 착지하는 동작."
MC01_A04_B060_CA1_M0001_420.json,국서리춤은 장삼을 활용해서 길고 부드러운 선을 연희하고 자진모리 장단에 법고를 친다
MC01_A03_B038_CA1_M0008_11400.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A01_B015_CA1_M0003_670.json,"외사위, 겹사위"
MC01_A09_B094_CA1_M0005_2370.json,"배김사위, 앞배김새, 뒷배김새, 겨드랑배김새 동작이 강하여 뛰어서 땅을 내려 누르듯이 힘차게 착지하는 동작."
MC01_A04_B060_CA1_M0001_2040.json,국서리춤은 장삼을 활용해서 길고 부드러운 선을 연희하고 자진모리 장단에 법고를 친다
MC01_A09_B097_CA1_M0005_2700.json,"갈지자로 좌.우 엉덩이를 흔들며, 걷는 사위. 추하면서도 요염함이 묻어나는 엉덩이 춤새."
MC01_A03_B049_CA1_M0028_30090.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A03_B039_CA1_M0008_3600.json,"제끼는사위,한삼을 머리 위 앞에서 뒤로 쳐준다. 엎는사위,한삼을 뒤에서 앞으로 쳐준다."
MC01_A06_B082_CA1_M0013_6495.json,"첫 입장 배김새, 큰 배김새"
MC01_A03_B047_CA1_M0006_2070.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A04_B061_CA1_M0003_3675.json,힘겹게 일어나 소무들을 취하는 동작.
MC01_A04_B061_CA1_M0010_10425.json,힘겹게 일어나 소무들을 취하는 동작.
MC01_A01_B014_CA1_M0005_1830.json,돌며 뿌리는 동작
MC01_A09_B094_CA1_M0006_2775.json,"배김사위, 앞배김새, 뒷배김새, 겨드랑배김새 동작이 강하여 뛰어서 땅을 내려 누르듯이 힘차게 착지하는 동작."
MC01_A01_B009_CA1_M0002_4950.json,좌우로 움직일때 뫼산자를 그리며 허리채기
MC01_A09_B096_CA1_M0009_7590.json,"배김사위, 휘두름사위."
MC01_A02_B031_CA1_M0003_2085.json,곰방대와 부채로 너울질 하는 춤
MC01_A06_B087_CA1_M0002_900.json,"배김새, 으시개, 베기"
MC01_A03_B038_CA1_M0013_18240.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A03_B049_CA1_M0009_19155.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A04_B055_CA1_M0007_7980.json,"합장재배, 벽사진경의 의식무로서 연희초반 마당을 정화하는 대표적 동작"
MC01_A01_B005_CA1_M0004_4995.json,호흡과 홍태기가 일체가 되어 절도있게 채는 동작으로 춘다
MC01_A06_B082_CA1_M0006_3330.json,"첫 입장 배김새, 큰 배김새"
MC01_A06_B084_CA1_M0025_20610.json,선녀 두 명과 놀고 난후 큰 배김새
MC01_A03_B049_CA1_M0003_735.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A07_B090_CA1_M0004_875.json,말채를 머리 위로 힘차게 휘두르며 빠른 굿거리 장단에 맞춰 도약한다. 
MC01_A02_B017_CA1_M0009_6270.json,"다리너울질, 근경, 다리질, 등등"
MC01_A03_B049_CA1_M0010_19695.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A05_B077_CA1_M0002_3540.json,삼진삼퇴 및 마속무
MC01_A09_B095_CA1_M0008_5745.json," 역동새, 배김사위, 일자사위."
MC01_A02_B030_CA1_M0021_16845.json,"가벼우면서도 건들거리며 찍고 중심 이동하는 춤, 흥을 뱉어 내는 동작"
MC01_A03_B045_CA1_M0007_3630.json,왼쪽으로 높이 뛰어 2번 도는사위
MC01_A04_B061_CA1_M0003_3225.json,힘겹게 일어나 소무들을 취하는 동작.
MC01_A05_B068_CA1_M0005_5580.json,"합장재배의 합장 높이들기, 사방재배에서 삼진과 방향전환하기. 타령장단에 따른 기본 춤사위 중 여다지, 자진화장, 어깨치기 등"
MC01_A09_B099_CA1_M0001_660.json,"돌림사위, 울음태사위"
MC01_A02_B030_CA1_M0016_12555.json,"가벼우면서도 건들거리며 찍고 중심 이동하는 춤, 흥을 뱉어 내는 동작"
MC01_A05_B079_CA1_M0006_1800.json,송파산대놀이의 기본 춤사위를 깨끼걸음과 건들걸음에 맞춰 원으로 도는 춤사위
MC01_A03_B038_CA1_M0015_19275.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A02_B024_CA1_M0006_2280.json,주저 앉는 동작
MC01_A06_B084_CA1_M0020_15420.json,선녀 두 명과 놀고 난후 큰 배김새
MC01_A06_B086_CA1_M0002_1755.json,팔을 크게 들고 돈다
MC01_A04_B061_CA1_M0010_10560.json,힘겹게 일어나 소무들을 취하는 동작.
MC01_A04_B067_CA1_M0004_1875.json,"깨끼, 양주만의 발 디딤새로 앞꿈치로 가볍게 디디는 특징"
MC01_A06_B084_CA1_M0002_1935.json,선녀 두 명과 놀고 난후 큰 배김새
MC01_A01_B008_CA1_M0003_1735.json,채찍으로 양반을 내리치고 바닥에 채찍으로 말뚝을 박는 동작
